Distance (µm),Fe Ox%,
0,14.45121,
1.47541881603857,14.47793,
2.95083763207713,14.37426,
4.4262564481157,14.32793,
5.90167526415426,14.5042,
7.37709408019283,14.46255,
8.8525128962314,14.5587,
10.32793171227,14.43893,
11.8033505283085,14.44051,
13.2787693443471,14.31433,
14.7541881603857,14.46516,
16.2296069764242,14.46674,
17.7050257924628,14.4891,
19.1804446085013,14.43513,
20.6558634245399,14.47672,
22.1312822405785,14.4914,
23.6067010566171,14.39983,
25.0821198726556,14.46852,
26.5575386886942,14.37232,
28.0329575047327,14.41348,
29.5083763207713,14.46174,
30.9837951368099,14.54484,
32.4592139528484,14.39411,
33.934632768887,14.36139,
35.4100515849256,13.79245,
36.8854704009641,10.96699,
38.3608892170027,14.11812,
39.8363080330413,14.38832,
41.3117268490798,14.46906,
42.7871456651184,14.40463,
44.262564481157,14.40858,
45.7379832971955,14.44878,
47.2134021132341,14.40359,
48.6888209292727,14.46448,
50.1642397453112,14.43947,
51.6396585613498,14.44288,
53.1150773773884,14.42668,
54.5904961934269,14.45839,
56.0659150094655,14.4163,
57.5413338255041,13.76583,
59.0167526415426,11.994,
60.4921714575812,12.66637,
61.9675902736197,12.42872,
63.4430090896583,14.22214,
64.9184279056969,7.812312,
66.3938467217355,4.032638,
67.869265537774,15.84353,
69.3446843538126,20.2617,
70.8201031698511,20.44713,
72.2955219858897,20.31251,
73.7709408019283,20.17598,
75.2463596179669,18.80827,
76.7217784340054,13.24377,
78.197197250044,8.584046,
79.6726160660825,6.673776,
81.1480348821211,5.159904,
82.6234536981597,3.245745,
84.0988725141982,3.998482,
85.5742913302368,18.72595,
87.0497101462754,20.21039,
88.5251289623139,20.45118,
90.0005477783525,15.24414,
91.4759665943911,15.37169,
92.9513854104296,20.03843,
94.4268042264682,18.64808,
95.9022230425067,15.0848,
97.3776418585453,20.46881,
98.8530606745839,19.06259,
100.328479490622,11.76034,
101.803898306661,19.35657,
103.2793171227,12.5266,
104.754735938738,7.350582,
106.230154754777,13.87925,
107.705573570815,20.56926,
109.180992386854,20.85755,
110.656411202892,20.79593,
112.131830018931,20.73511,
113.60724883497,12.86732,
115.082667651008,6.370988,
116.558086467047,17.28204,
118.033505283085,8.697594,
119.508924099124,3.464226,
120.984342915162,1.400822,
122.459761731201,1.107563,
123.935180547239,1.245396,
125.410599363278,1.594625,
126.886018179317,2.651868,
128.361436995355,3.369109,
129.836855811394,3.951892,
131.312274627432,3.531368,
132.787693443471,3.236751,
134.263112259509,4.618067,
135.738531075548,7.204677,
137.213949891587,5.878976,
138.689368707625,6.58403,
140.164787523664,8.550519,
141.640206339702,11.97034,
143.115625155741,12.936,
144.591043971779,13.78642,
146.066462787818,17.64515,
147.541881603857,20.59498,
149.017300419895,21.08408,
150.492719235934,21.07883,
151.968138051972,21.1052,
153.443556868011,20.86359,
154.918975684049,19.60206,
156.394394500088,11.85258,
157.869813316127,5.841823,
159.345232132165,3.145544,
160.820650948204,2.942592,
162.296069764242,2.890551,
163.771488580281,2.793888,
165.246907396319,4.731837,
166.722326212358,6.91065,
168.197745028396,7.154925,
169.673163844435,7.131661,
171.148582660474,7.075331,
172.624001476512,6.968961,
174.099420292551,7.131051,
175.574839108589,7.05994,
177.050257924628,7.065267,
178.525676740666,7.046,
180.001095556705,6.963934,
181.476514372744,7.105005,
182.951933188782,7.067773,
184.427352004821,6.953355,
185.902770820859,7.017406,
187.378189636898,7.040173,
188.853608452936,7.031121,
190.329027268975,7.075251,
191.804446085013,7.026818,
193.279864901052,7.005202,
194.755283717091,6.975934,
196.230702533129,6.961031,
197.706121349168,6.922175,
199.181540165206,6.987112,
200.656958981245,6.905304,
202.132377797283,7.001379,
203.607796613322,7.011566,
205.083215429361,6.989681,
206.558634245399,7.001677,
208.034053061438,6.932884,
209.509471877476,6.765216,
210.984890693515,6.894397,
212.460309509553,7.161983,
213.935728325592,7.057558,
215.411147141631,6.927573,
216.886565957669,6.947506,
218.361984773708,6.881273,
219.837403589746,6.912179,
