Distance (µm),K Ox%,
0,0.018935,
1.47541881603857,0.018587,
2.95083763207713,0.02196,
4.4262564481157,0.013275,
5.90167526415426,0.062607,
7.37709408019283,0.033321,
8.8525128962314,0.018505,
10.32793171227,0.004953,
11.8033505283085,0.016474,
13.2787693443471,-0.005147,
14.7541881603857,0.047344,
16.2296069764242,0.009165,
17.7050257924628,0.011585,
19.1804446085013,0.012714,
20.6558634245399,0.020244,
22.1312822405785,0.003732,
23.6067010566171,-0.00752,
25.0821198726556,0.005266,
26.5575386886942,0.023634,
28.0329575047327,-0.005693,
29.5083763207713,0.007091,
30.9837951368099,-0.000922,
32.4592139528484,0.025974,
33.934632768887,0.016165,
35.4100515849256,0.016561,
36.8854704009641,0.03524,
38.3608892170027,0.043405,
39.8363080330413,0.03506,
41.3117268490798,0.014659,
42.7871456651184,0.009459,
44.262564481157,0.002952,
45.7379832971955,0.004848,
47.2134021132341,0.009711,
48.6888209292727,0.014034,
50.1642397453112,0.025525,
51.6396585613498,0.013122,
53.1150773773884,0.033458,
54.5904961934269,0.008991,
56.0659150094655,0.016871,
57.5413338255041,0.264633,
59.0167526415426,1.017588,
60.4921714575812,0.794501,
61.9675902736197,0.891253,
63.4430090896583,0.200443,
64.9184279056969,3.37752,
66.3938467217355,5.240828,
67.869265537774,1.750971,
69.3446843538126,0.082144,
70.8201031698511,0.036357,
72.2955219858897,0.058112,
73.7709408019283,0.119537,
75.2463596179669,0.590726,
76.7217784340054,1.584121,
78.197197250044,3.065745,
79.6726160660825,2.272156,
81.1480348821211,3.011066,
82.6234536981597,4.962789,
84.0988725141982,5.043883,
85.5742913302368,0.778092,
87.0497101462754,0.054682,
88.5251289623139,0.110251,
90.0005477783525,1.924472,
91.4759665943911,1.928153,
92.9513854104296,0.387688,
94.4268042264682,0.660847,
95.9022230425067,1.58779,
97.3776418585453,0.199508,
98.8530606745839,0.786164,
100.328479490622,2.906411,
101.803898306661,0.70397,
103.2793171227,0.779614,
104.754735938738,0.361392,
106.230154754777,0.215309,
107.705573570815,0.065613,
109.180992386854,0.027121,
110.656411202892,0.01487,
112.131830018931,0.07719,
113.60724883497,2.413364,
115.082667651008,4.284254,
116.558086467047,1.400164,
118.033505283085,3.632565,
119.508924099124,4.650912,
120.984342915162,1.60827,
122.459761731201,1.024871,
123.935180547239,1.438077,
125.410599363278,2.701181,
126.886018179317,4.946973,
128.361436995355,4.001161,
129.836855811394,3.015279,
131.312274627432,3.686439,
132.787693443471,4.567716,
134.263112259509,4.363297,
135.738531075548,3.769273,
137.213949891587,3.899508,
138.689368707625,1.438464,
140.164787523664,0.666744,
141.640206339702,0.346112,
143.115625155741,0.359947,
144.591043971779,0.29812,
146.066462787818,0.384884,
147.541881603857,0.063064,
149.017300419895,0.045015,
150.492719235934,0.008981,
151.968138051972,0.026956,
153.443556868011,0.080449,
154.918975684049,0.349326,
156.394394500088,2.486043,
157.869813316127,4.3214,
159.345232132165,5.28422,
160.820650948204,5.55511,
162.296069764242,5.812646,
163.771488580281,5.553222,
165.246907396319,3.022563,
166.722326212358,0.408408,
168.197745028396,0.080066,
169.673163844435,0.063876,
171.148582660474,0.074487,
172.624001476512,0.047662,
174.099420292551,0.03465,
175.574839108589,0.039803,
177.050257924628,0.04549,
178.525676740666,0.042227,
180.001095556705,0.029246,
181.476514372744,0.052126,
182.951933188782,0.038958,
184.427352004821,0.027859,
185.902770820859,0.038561,
187.378189636898,0.02944,
188.853608452936,0.027422,
190.329027268975,0.028953,
191.804446085013,0.042036,
193.279864901052,0.044182,
194.755283717091,0.055969,
196.230702533129,0.027823,
197.706121349168,0.015534,
199.181540165206,0.035772,
200.656958981245,0.02409,
202.132377797283,0.041796,
203.607796613322,0.031882,
205.083215429361,0.034944,
206.558634245399,0.03328,
208.034053061438,0.028727,
209.509471877476,0.010603,
210.984890693515,0.025197,
212.460309509553,0.023312,
213.935728325592,0.012499,
215.411147141631,0.038277,
216.886565957669,0.044894,
218.361984773708,0.033462,
219.837403589746,0.044712,
