Distance (µm),Mg Ox%,
0,26.508,
1.47541881603857,26.54149,
2.95083763207713,26.59182,
4.4262564481157,26.35917,
5.90167526415426,26.49208,
7.37709408019283,26.4392,
8.8525128962314,26.62453,
10.32793171227,26.57605,
11.8033505283085,26.53285,
13.2787693443471,26.48317,
14.7541881603857,26.55557,
16.2296069764242,26.54451,
17.7050257924628,26.54933,
19.1804446085013,26.59089,
20.6558634245399,26.50521,
22.1312822405785,26.56415,
23.6067010566171,26.60884,
25.0821198726556,26.59936,
26.5575386886942,26.62065,
28.0329575047327,26.485,
29.5083763207713,26.663,
30.9837951368099,26.66162,
32.4592139528484,26.72549,
33.934632768887,26.89636,
35.4100515849256,26.30026,
36.8854704009641,12.52368,
38.3608892170027,27.00811,
39.8363080330413,26.76443,
41.3117268490798,26.58545,
42.7871456651184,26.61098,
44.262564481157,26.51945,
45.7379832971955,26.56772,
47.2134021132341,26.58554,
48.6888209292727,26.53159,
50.1642397453112,26.59531,
51.6396585613498,26.67696,
53.1150773773884,26.59857,
54.5904961934269,26.47532,
56.0659150094655,26.57175,
57.5413338255041,24.66297,
59.0167526415426,18.71511,
60.4921714575812,21.01921,
61.9675902736197,20.02372,
63.4430090896583,25.61491,
64.9184279056969,10.46283,
66.3938467217355,4.675799,
67.869265537774,29.63586,
69.3446843538126,39.89899,
70.8201031698511,40.30834,
72.2955219858897,40.22787,
73.7709408019283,39.65044,
75.2463596179669,35.25822,
76.7217784340054,21.28844,
78.197197250044,11.43457,
79.6726160660825,13.47544,
81.1480348821211,10.26814,
82.6234536981597,3.623817,
84.0988725141982,5.392845,
85.5742913302368,35.8714,
87.0497101462754,39.42471,
88.5251289623139,39.41152,
90.0005477783525,25.14437,
91.4759665943911,29.31096,
92.9513854104296,38.24189,
94.4268042264682,35.74991,
95.9022230425067,26.02143,
97.3776418585453,39.29776,
98.8530606745839,35.14006,
100.328479490622,19.87285,
101.803898306661,36.83043,
103.2793171227,24.88659,
104.754735938738,19.51558,
106.230154754777,28.44989,
107.705573570815,38.90643,
109.180992386854,39.75975,
110.656411202892,39.81665,
112.131830018931,39.20667,
113.60724883497,18.24133,
115.082667651008,9.050313,
116.558086467047,31.4811,
118.033505283085,9.703552,
119.508924099124,2.229487,
120.984342915162,0.420022,
122.459761731201,0.27429,
123.935180547239,0.336013,
125.410599363278,0.656054,
126.886018179317,1.593178,
128.361436995355,3.560638,
129.836855811394,5.804773,
131.312274627432,4.185381,
132.787693443471,3.106999,
134.263112259509,5.191595,
135.738531075548,9.352591,
137.213949891587,7.748923,
138.689368707625,16.24343,
140.164787523664,19.65409,
141.640206339702,23.77715,
143.115625155741,24.29329,
144.591043971779,20.17049,
146.066462787818,31.96974,
147.541881603857,38.33624,
149.017300419895,39.35849,
150.492719235934,39.32155,
151.968138051972,39.5113,
153.443556868011,39.33873,
154.918975684049,35.42519,
156.394394500088,14.58083,
157.869813316127,4.942835,
159.345232132165,1.230926,
160.820650948204,0.73101,
162.296069764242,0.650459,
163.771488580281,0.980973,
165.246907396319,7.799284,
166.722326212358,13.02264,
168.197745028396,13.57755,
169.673163844435,13.61264,
171.148582660474,13.6846,
172.624001476512,13.6617,
174.099420292551,13.70486,
175.574839108589,13.73687,
177.050257924628,13.70861,
178.525676740666,13.72277,
180.001095556705,13.6247,
181.476514372744,13.62085,
182.951933188782,13.65478,
184.427352004821,13.63222,
185.902770820859,13.56815,
187.378189636898,13.65206,
188.853608452936,13.68808,
190.329027268975,13.66273,
191.804446085013,13.7512,
193.279864901052,13.6992,
194.755283717091,13.6245,
196.230702533129,13.67864,
197.706121349168,13.66306,
199.181540165206,13.65393,
200.656958981245,13.67966,
202.132377797283,13.66628,
203.607796613322,13.69034,
205.083215429361,13.60682,
206.558634245399,13.60992,
208.034053061438,13.62845,
209.509471877476,13.50559,
210.984890693515,13.56088,
212.460309509553,13.77701,
213.935728325592,13.74261,
215.411147141631,13.71241,
216.886565957669,13.69251,
218.361984773708,13.53584,
219.837403589746,13.69629,
