Distance (µm),Al Ox%,
0,7.444218,
1.01497113167711,7.567853,
2.02994226335424,7.483815,
3.04491339503135,7.482616,
4.05988452670847,7.507793,
5.07485565838559,7.456512,
6.08982679006271,7.565908,
7.10479792173982,7.529572,
8.11976905341694,7.56849,
9.13474018509407,7.519036,
10.1497113167712,7.576823,
11.1646824484483,7.472262,
12.1796535801254,7.551455,
13.1946247118025,7.52657,
14.2095958434797,7.54637,
15.2245669751568,7.517511,
16.2395381068339,7.595677,
17.254509238511,7.511749,
18.2694803701881,7.484692,
19.2844515018652,7.564113,
20.2994226335423,7.534309,
21.3143937652195,7.650478,
22.3293648968966,7.638053,
23.3443360285737,7.670782,
24.3593071602508,7.899351,
25.3742782919279,7.853718,
26.3892494236051,7.848116,
27.4042205552822,7.90303,
28.4191916869593,7.831551,
29.4341628186364,7.730834,
30.4491339503135,7.704838,
31.4641050819907,7.717714,
32.4790762136678,7.653295,
33.4940473453449,7.751106,
34.509018477022,7.629905,
35.5239896086991,7.719728,
36.5389607403762,7.626603,
37.5539318720533,7.609921,
38.5689030037305,7.677863,
39.5838741354076,7.816984,
40.5988452670847,7.640839,
41.6138163987618,7.684443,
42.6287875304389,7.701118,
43.6437586621161,7.752432,
44.6587297937932,7.750898,
45.6737009254703,7.783894,
46.6886720571474,7.765591,
47.7036431888245,7.777663,
48.7186143205016,7.79483,
49.7335854521788,7.793625,
50.7485565838559,7.768726,
51.763527715533,7.754682,
52.7784988472101,7.765743,
53.7934699788872,7.732496,
54.8084411105643,7.853681,
55.8234122422415,7.839154,
56.8383833739186,7.777079,
57.8533545055957,7.833207,
58.8683256372728,7.883334,
59.8832967689499,7.81624,
60.8982679006271,7.756931,
61.9132390323042,7.846775,
62.9282101639813,8.060321,
63.9431812956584,8.185865,
64.9581524273355,8.599641,
65.9731235590126,6.706239,
66.9880946906898,8.410384,
68.0030658223669,11.23153,
69.018036954044,11.84381,
70.0330080857211,16.05265,
71.0479792173983,21.56993,
72.0629503490754,23.85644,
73.0779214807525,22.11228,
74.0928926124296,20.17341,
75.1078637441067,17.40114,
76.1228348757839,14.06496,
77.137806007461,11.1675,
78.1527771391381,8.383696,
79.1677482708152,6.000979,
80.1827194024923,2.776925,
81.1976905341694,0.236374,
82.2126616658465,0.041396,
83.2276327975237,0.054454,
84.2426039292008,0.025383,
85.2575750608779,0.040317,
86.272546192555,0.104943,
87.2875173242321,0.169161,
88.3024884559093,0.617038,
89.3174595875864,2.169152,
90.3324307192635,6.883036,
91.3474018509406,12.30935,
92.3623729826177,13.3059,
93.3773441142948,13.01679,
94.392315245972,11.67736,
95.4072863776491,9.843666,
96.4222575093262,8.575252,
97.4372286410033,7.895138,
98.4521997726804,7.518106,
99.4671709043576,7.060726,
100.482142036035,5.895362,
101.497113167712,5.12714,
102.512084299389,4.468117,
103.527055431066,3.717556,
104.542026562743,2.801886,
105.55699769442,2.456501,
106.571968826097,2.187919,
107.586939957775,2.980722,
108.601911089452,7.342968,
109.616882221129,10.2395,
110.631853352806,10.34752,
111.646824484483,6.368539,
112.66179561616,6.926137,
113.676766747837,8.484472,
114.691737879514,6.859768,
115.706709011191,6.10872,
116.721680142869,6.012165,
117.736651274546,5.965043,
118.751622406223,5.953039,
119.7665935379,5.999989,
120.781564669577,6.053432,
121.796535801254,6.024931,
122.811506932931,6.003886,
123.826478064608,5.977061,
124.841449196286,6.081336,
125.856420327963,6.041791,
126.87139145964,5.990459,
127.886362591317,6.061335,
128.901333722994,6.013188,
129.916304854671,6.024813,
130.931275986348,6.030911,
131.946247118025,5.953846,
132.961218249702,6.017798,
133.97618938138,6.048276,
134.991160513057,6.023821,
136.006131644734,5.966827,
137.021102776411,6.036763,
138.036073908088,6.087256,
139.051045039765,6.137702,
140.066016171442,6.076288,
141.080987303119,6.071308,
142.095958434797,6.051041,
143.110929566474,6.075547,
144.125900698151,6.270082,
145.140871829828,6.033058,
146.155842961505,5.977127,
147.170814093182,6.053677,
148.185785224859,6.053716,
149.200756356536,6.110491,
150.215727488213,6.104268,
151.230698619891,6.052872,
