Distance (µm),Al Ox%,
0,6.168619,
1.49926184640665,6.182916,
2.99852369281331,6.141536,
4.49778553921996,6.161214,
5.99704738562663,6.127734,
7.49630923203328,6.191181,
8.99557107843994,6.172491,
10.4948329248466,6.182604,
11.9940947712533,6.13353,
13.4933566176599,6.105282,
14.9926184640666,6.188075,
16.4918803104732,6.162432,
17.9911421568799,6.120021,
19.4904040032865,6.11956,
20.9896658496932,6.088119,
22.4889276960998,6.131849,
23.9881895425065,6.116561,
25.4874513889132,6.132705,
26.9867132353198,5.339127,
28.4859750817265,1.611795,
29.9852369281331,6.344627,
31.4844987745398,6.100566,
32.9837606209464,6.092606,
34.4830224673531,6.243794,
35.9822843137597,6.168141,
37.4815461601664,6.063848,
38.9808080065731,6.12953,
40.4800698529797,6.123346,
41.9793316993864,6.156017,
43.478593545793,6.157034,
44.9778553921997,6.096857,
46.4771172386063,6.082198,
47.976379085013,6.1505,
49.4756409314196,6.120756,
50.9749027778263,6.11553,
52.4741646242329,6.033792,
53.9734264706396,6.133242,
55.4726883170463,6.046129,
56.9719501634529,6.123107,
58.4712120098596,6.138134,
59.9704738562662,6.116234,
61.4697357026729,6.018953,
62.9689975490796,6.080215,
64.4682593954862,6.096694,
65.9675212418929,6.192801,
67.4667830882995,6.08516,
68.9660449347062,6.13524,
70.4653067811128,6.116909,
71.9645686275195,6.122776,
73.4638304739261,6.148108,
74.9630923203328,6.138897,
76.4623541667394,6.056093,
77.9616160131461,6.183402,
79.4608778595528,6.164633,
80.9601397059594,6.078856,
82.4594015523661,6.121617,
83.9586633987727,6.565847,
85.4579252451794,8.809657,
86.9571870915861,2.570461,
88.4564489379927,0.384976,
89.9557107843994,0.060527,
91.454972630806,0.018349,
92.9542344772127,0.054018,
94.4534963236193,0.052603,
95.952758170026,0.037217,
97.4520200164326,0.044183,
98.9512818628393,0.035427,
100.450543709246,0.030607,
101.949805555653,0.041611,
103.449067402059,0.09853,
104.948329248466,0.024385,
106.447591094873,-0.005298,
107.946852941279,0.099111,
109.446114787686,1.076997,
110.945376634093,8.746481,
112.444638480499,2.020927,
113.943900326906,0.614193,
115.443162173313,3.337507,
116.942424019719,14.3916,
118.441685866126,26.28661,
119.940947712532,25.72735,
121.440209558939,18.62814,
122.939471405346,8.966991,
124.438733251752,2.626112,
125.937995098159,1.562395,
127.437256944566,2.890263,
128.936518790972,13.34593,
130.435780637379,14.49934,
131.935042483786,9.231191,
133.434304330192,8.037923,
134.933566176599,7.955123,
136.432828023006,7.956316,
137.932089869412,8.034575,
139.431351715819,8.026897,
140.930613562226,8.025868,
142.429875408632,8.020314,
143.929137255039,7.95556,
145.428399101446,7.976283,
146.927660947852,8.024552,
148.426922794259,8.028341,
149.926184640666,7.985031,
151.425446487072,8.017078,
152.924708333479,8.042828,
154.423970179886,8.002204,
155.923232026292,8.028793,
157.422493872699,7.969003,
158.921755719106,8.037809,
160.421017565512,7.961048,
161.920279411919,7.99748,
163.419541258325,8.013818,
164.918803104732,8.029366,
166.418064951139,7.990763,
167.917326797545,8.127591,
169.416588643952,8.156404,
170.915850490359,8.108262,
172.415112336765,7.999592,
173.914374183172,8.007517,
175.413636029579,8.082063,
176.912897875985,8.030993,
178.412159722392,7.947965,
179.911421568799,7.955337,
181.410683415205,7.962341,
182.909945261612,7.959358,
184.409207108019,7.957104,
185.908468954425,8.020333,
187.407730800832,7.98423,
188.906992647239,7.954274,
190.406254493645,7.964816,
191.905516340052,7.932953,
193.404778186459,7.961769,
194.904040032865,8.019497,
196.403301879272,8.07652,
197.902563725679,7.969776,
199.401825572085,8.087687,
200.901087418492,8.032248,
