Distance (µm),Mg Ox%,
0,26.44579,
1.24154089941974,26.52715,
2.48308179883947,26.32216,
3.72462269825922,26.41775,
4.96616359767896,26.38817,
6.20770449709869,26.32909,
7.44924539651843,26.50605,
8.69078629593818,26.46916,
9.93232719535791,26.47871,
11.1738680947776,26.47881,
12.4154089941974,26.41455,
13.6569498936171,26.42236,
14.8984907930369,26.50717,
16.1400316924566,26.39411,
17.3815725918764,26.57942,
18.6231134912961,26.35697,
19.8646543907158,26.46852,
21.1061952901356,26.19964,
22.3477361895553,26.48543,
23.589277088975,25.87233,
24.8308179883948,19.62906,
26.0723588878145,3.731655,
27.3138997872342,14.68911,
28.555440686654,26.65091,
29.7969815860737,26.47274,
31.0385224854935,26.31129,
32.2800633849132,26.42921,
33.521604284333,26.36133,
34.7631451837527,26.29562,
36.0046860831724,26.46849,
37.2462269825922,26.4144,
38.4877678820119,26.19322,
39.7293087814316,26.34625,
40.9708496808514,26.36307,
42.2123905802711,26.17174,
43.4539314796909,26.33773,
44.6954723791106,26.39271,
45.9370132785303,26.47825,
47.1785541779501,26.38696,
48.4200950773698,26.4432,
49.6616359767895,26.04976,
50.9031768762093,26.43036,
52.144717775629,26.52018,
53.3862586750488,26.40123,
54.6277995744685,26.44575,
55.8693404738882,26.45726,
57.110881373308,26.49502,
58.3524222727277,26.56977,
59.5939631721475,26.45299,
60.8355040715672,26.56752,
62.077044970987,26.38306,
63.3185858704067,26.51987,
64.5601267698264,26.439,
65.8016676692462,26.41802,
67.0432085686659,26.36093,
68.2847494680856,26.46927,
69.5262903675054,26.46692,
70.7678312669251,26.52872,
72.0093721663448,26.52091,
73.2509130657646,26.44987,
74.4924539651843,26.46176,
75.7339948646041,26.49745,
76.9755357640238,26.4368,
78.2170766634435,26.54739,
79.4586175628633,26.34009,
80.700158462283,26.44984,
81.9416993617028,25.56314,
83.1832402611225,13.77062,
84.4247811605423,2.00527,
85.666322059962,0.781072,
86.9078629593817,0.664956,
88.1494038588015,0.708836,
89.3909447582212,0.675503,
90.6324856576409,0.664059,
91.8740265570607,0.733167,
93.1155674564804,0.709301,
94.3571083559002,0.672071,
95.5986492553199,0.754507,
96.8401901547397,0.951723,
98.0817310541594,1.610514,
99.3232719535791,3.639013,
100.564812852999,18.27684,
101.806353752419,37.5564,
103.047894651838,39.76243,
104.289435551258,39.7195,
105.530976450678,39.73206,
106.772517350098,39.18504,
108.014058249517,30.51223,
109.255599148937,21.78665,
110.497140048357,19.08813,
111.738680947776,29.12464,
112.980221847196,35.85635,
114.221762746616,25.22097,
115.463303646036,2.713295,
116.704844545455,0.462703,
117.946385444875,0.329956,
119.187926344295,1.527917,
120.429467243715,8.112923,
121.671008143134,13.79786,
122.912549042554,13.45944,
124.154089941974,13.77471,
125.395630841394,13.75243,
126.637171740813,13.69333,
127.878712640233,13.786,
129.120253539653,13.79472,
130.361794439073,13.77064,
131.603335338492,13.74008,
132.844876237912,13.75247,
134.086417137332,13.71779,
135.327958036752,13.72084,
136.569498936171,13.67997,
137.811039835591,13.74216,
139.052580735011,13.67584,
140.29412163443,13.6814,
141.53566253385,13.78069,
142.77720343327,13.64147,
144.01874433269,13.75979,
145.260285232109,13.53184,
146.501826131529,13.75866,
147.743367030949,13.71475,
148.984907930369,13.74879,
150.226448829788,13.39837,
151.467989729208,13.69227,
152.709530628628,13.74269,
153.951071528048,13.74678,
155.192612427467,13.7621,
156.434153326887,13.69026,
157.675694226307,13.76113,
158.917235125727,13.73303,
160.158776025146,13.68615,
161.400316924566,13.7838,
162.641857823986,13.76645,
163.883398723406,13.72986,
165.124939622825,13.65024,
166.366480522245,13.78965,
167.608021421665,13.76739,
168.849562321084,13.8132,
170.091103220504,13.75958,
171.332644119924,13.65722,
172.574185019344,13.74951,
173.815725918763,13.71708,
175.057266818183,13.661,
176.298807717603,13.75117,
177.540348617023,13.69692,
178.781889516442,13.8006,
180.023430415862,13.73583,
181.264971315282,13.66938,
182.506512214702,13.69167,
183.748053114121,13.76273,
184.989594013541,13.76512,
