Distance (µm),Cr Ox%,
0,-0.027884,
0.887227942343051,-0.083961,
1.7744558846861,-0.030575,
2.66168382702915,-0.061876,
3.5489117693722,-0.036461,
4.43613971171525,-0.00343,
5.3233676540583,-0.052168,
6.21059559640135,-0.086965,
7.09782353874439,-0.070984,
7.98505148108745,-0.064116,
8.8722794234305,-0.044842,
9.75950736577355,-0.020524,
10.6467353081166,-0.054907,
11.5339632504596,-0.022339,
12.4211911928027,-0.087156,
13.3084191351457,-0.070229,
14.1956470774888,-0.037413,
15.0828750198319,-0.123429,
15.9701029621749,-0.047976,
16.8573309045179,-0.032283,
17.744558846861,-0.078919,
18.631786789204,-0.048528,
19.5190147315471,-0.014042,
20.4062426738902,-0.022497,
21.2934706162332,-0.05675,
22.1806985585762,-0.084332,
23.0679265009193,-0.098206,
23.9551544432623,-0.029468,
24.8423823856054,-0.090673,
25.7296103279484,-0.04328,
26.6168382702915,-0.036572,
27.5040662126345,-0.081903,
28.3912941549776,0.006349,
29.2785220973207,-0.038375,
30.1657500396637,-0.084681,
31.0529779820067,-0.051984,
31.9402059243498,-0.046171,
32.8274338666928,-0.01835,
33.7146618090359,-0.045332,
34.6018897513789,-0.027036,
35.489117693722,-0.026105,
36.376345636065,-0.095785,
37.2635735784081,-0.072538,
38.1508015207512,-0.061881,
39.0380294630942,-0.102086,
39.9252574054373,-0.011789,
40.8124853477803,-0.013018,
41.6997132901233,-0.04791,
42.5869412324664,-0.061194,
43.4741691748094,-0.090134,
44.3613971171525,-0.02387,
45.2486250594955,-0.039774,
46.1358530018386,-0.063964,
47.0230809441816,-0.038461,
47.9103088865247,-0.0344,
48.7975368288677,-0.079642,
49.6847647712108,-0.046115,
50.5719927135538,-0.027163,
51.4592206558969,-0.085809,
52.3464485982399,-0.062741,
53.233676540583,-0.032374,
54.120904482926,-0.082768,
55.0081324252691,-0.044292,
55.8953603676121,-0.075398,
56.7825883099552,-0.075492,
57.6698162522982,-0.046889,
58.5570441946413,-0.054187,
59.4442721369843,-0.076311,
60.3315000793274,-0.049622,
61.2187280216704,-0.015454,
62.1059559640135,-0.057388,
62.9931839063565,-0.007421,
63.8804118486996,-0.032653,
64.7676397910426,-0.052421,
65.6548677333857,-0.042383,
66.5420956757287,-0.040557,
67.4293236180718,-0.055166,
68.3165515604148,-0.045076,
69.2037795027579,-0.037602,
70.0910074451009,-0.049603,
70.978235387444,-0.074899,
71.865463329787,-0.063043,
72.7526912721301,-0.014423,
73.6399192144731,-0.032416,
74.5271471568162,-0.052783,
75.4143750991592,-0.053949,
76.3016030415023,-0.019475,
77.1888309838453,-0.028528,
78.0760589261884,-0.047536,
78.9632868685315,-0.064593,
79.8505148108745,-0.060736,
80.7377427532175,-0.039574,
81.6249706955606,-0.056033,
82.5121986379037,-0.041101,
83.3994265802467,-0.054332,
84.2866545225897,-0.065456,
85.1738824649328,-0.026356,
86.0611104072758,-0.05586,
86.9483383496189,-0.03457,
87.8355662919619,-0.055254,
88.722794234305,-0.019425,
89.610022176648,-0.076089,
90.4972501189911,-0.020675,
91.3844780613341,-0.052392,
92.2717060036772,-0.031519,
93.1589339460202,-0.052833,
94.0461618883633,-0.041067,
94.9333898307063,-0.040971,
95.8206177730494,-0.040423,
96.7078457153924,-0.056928,
97.5950736577355,-0.043213,
98.4823016000785,-0.085553,
99.3695295424216,-0.051428,
100.256757484765,-0.027377,
101.143985427108,-0.01956,
102.031213369451,-0.042388,
102.918441311794,-0.104834,
103.805669254137,-0.03256,
104.69289719648,-0.054576,
105.580125138823,-0.036451,
106.467353081166,-0.013535,
107.354581023509,-0.035721,
108.241808965852,-0.076753,
109.129036908195,-0.007147,
110.016264850538,-0.051843,
110.903492792881,-0.04654,
111.790720735224,-0.033448,
112.677948677567,-0.093812,
113.56517661991,-0.040816,
114.452404562253,-0.08835,
115.339632504596,0.026387,
116.22686044694,-0.051306,
117.114088389283,-0.031124,
118.001316331626,-0.032317,
118.888544273969,-0.041033,
119.775772216312,-0.079767,
120.663000158655,-0.054186,
121.550228100998,-0.057806,
122.437456043341,-0.05575,
123.324683985684,-0.059841,
124.211911928027,-0.022998,
125.09913987037,-0.055916,
125.986367812713,-0.024987,
126.873595755056,-0.055658,
127.760823697399,-0.015389,
128.648051639742,-0.071421,
129.535279582085,-0.087573,
130.422507524428,-0.071475,
131.309735466771,-0.024288,
132.196963409114,-0.065494,
